"Клиент Имя Фамилия (e-17318627), период 01.05.2023 - 17.06.2023"
"Всего по поисковым запросам";;"Ср.расход за день (руб.)";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Ср. позиция показов";"Отказы (%)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"с 01.05.2023 по 17.06.2023";;1578,24;3560;369;10,37;56816,76;153,97;2,88;26,32;1,63;9469,46;6
"Другие поисковые запросы";;-;2;0;0,00;0,00;-;3,00;-;-;-;-

"Поисковый запрос";"Кампания";"№ Кампании";"Группа";"№ Группы";"Условие показа";"Тип условия показа";"Тип соответствия";"Подобранная фраза";"Категория таргетинга";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Ср. позиция показов";"Отказы (%)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"lenovo thinksystem sr250 v2";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem SR250 V2";5192441853;"Lenovo ThinkSystem SR250 V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr250 v2";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR250 V2";5192946208;"Lenovo ThinkSystem SR250 V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";5;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr250 v2";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo ThinkSystem SR250 V2";5194661676;"Lenovo ThinkSystem SR250 V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo thinksystem sr250 v2 7d7qa016ea";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR250 V2";5192409067;"Lenovo ThinkSystem SR250 V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr250 v2 7d7qs1mh00";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR250 V2";5192409067;"Lenovo ThinkSystem SR250 V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";3;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr250 v2 7d7qs1mk00";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR250 V2";5192968581;"Lenovo ThinkSystem SR250 V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr250 v2 pdf";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR250 V2";5192968581;"Lenovo ThinkSystem SR250 V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo thinksystem sr250 v2 rack 1u xeon e 2378";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR250 V2";5192968581;"Lenovo ThinkSystem SR250 V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr250 купить";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo ThinkSystem SR250 - 8851782002052089839";5194661665;"Купить Lenovo ThinkSystem SR250 -V2";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr250 потребляемая мощность";"Сервера Lenovo Урал";87795544;"Lenovo ThinkSystem SR250 - 8851782002052089839";5194663438;"Lenovo ThinkSystem SR250 -Rack -V2 -Купить -Цена";"фраза";"пословное";-;"Широкие запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo thinksystem sr530";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr530";"Сервера Lenovo Урал";87795544;"Lenovo ThinkSystem SR530 - 5815338548928577995";5194663423;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr530 7x08 service manual";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192968555;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"lenovo thinksystem sr530 7x08 service manual";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192968555;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"lenovo thinksystem sr530 7x08a0aeea";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192946182;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";2;0;0,00;0,00;-;3,50;-;-;-;-
"lenovo thinksystem sr530 7x08cto1ww";"Сервера Lenovo Северо-Запад";87670802;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192956555;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr530 7x08cto1ww сервер";"Сервера Lenovo Северо-Запад";87670802;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192956555;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr530 datasheet";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";2;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo thinksystem sr530 datasheet";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192946182;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";2;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo thinksystem sr530 datasheet pdf";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo thinksystem sr530 datasheet pdf";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;-;-;-;-;-
"lenovo thinksystem sr530 power specification";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192968555;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo thinksystem sr530 redfish";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"lenovo thinksystem sr530 леново пресс";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Леново SR530 -Сервер";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr550";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR550 - 4042967885481130338";5192334992;"Lenovo ThinkSystem SR550 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;3,50;-;-;-;-
"lenovo thinksystem sr550";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem SR550 - 4042967885481130338";5192441820;"Lenovo ThinkSystem SR550 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr550";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR550 - 4042967885481130338";5192946175;"Lenovo ThinkSystem SR550 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr550 sr650";"Сервера Lenovo Поволжье";87672026;"Lenovo SR650";5192968573;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr570";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR570 - 7941690042478765188";5192946190;"Lenovo ThinkSystem SR570 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo thinksystem sr570 7y03 cto1ww";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR570 - 7941690042478765188";5192335007;"Lenovo ThinkSystem SR570 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"lenovo thinksystem sr570 российский аналог";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR570 - 7941690042478765188";5192946190;"Lenovo ThinkSystem SR570 -Rack -Купить -Цена";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo thinksystem sr590 стоимость";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR590 - 1637914624274577352";5192334981;"Lenovo ThinkSystem SR590 -Rack -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630";"Сервера Lenovo Москва";87622199;"Lenovo SR630 V2";5192409061;'---autotargeting;"автотаргетинг";-;-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630";5192441848;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";3;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630";"Сервера Lenovo Северо-Запад";87670802;"Lenovo SR630";5192956576;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630";"Сервера Lenovo Поволжье";87672026;"Lenovo SR630";5192968576;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";3;0;0,00;0,00;-;2,67;-;-;-;-
"lenovo thinksystem sr630";"Сервера Lenovo Поволжье";87672026;"Lenovo SR630";5192968576;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630";"Сервера Lenovo Москва Н-Н";87673030;"Lenovo SR630";5192984893;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630";"Сервера | Lenovo | Краснодар, Ростов-на-Дону";87673348;"Lenovo SR630";5192987685;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo SR630";5194661671;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630";"Сервера Lenovo Екатеринбург, Челябинск";87795663;"Lenovo SR630";5194664988;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";3;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630";"Сервера Lenovo Кавказ";87795793;"Lenovo SR630";5194667766;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 01cx798";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 1u";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo SR630";5194661671;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 1u длина";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo SR630";5194661671;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";2;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 2";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630";5192441848;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 2.5 chassis with 8 bays";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;3,00;-;-;-;-
"lenovo thinksystem sr630 2x6246 r";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 7z71sesb00";"Сервера Lenovo Юг";87673229;"Lenovo SR630";5192986674;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 7z71sesb00 v2";"Сервера Lenovo Юг";87673229;"Lenovo SR630 V2";5192986673;"lenovo thinksystem sr630 V2 -Rack -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 8 sff";"Сервера Lenovo Юг";87673229;"Lenovo SR630";5192986674;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 gen2";"Сервера Lenovo Сибирь";87794735;"Lenovo SR630";5194659706;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo thinksystem sr630 host 1 avk gdz";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 host 4";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630";5192441848;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 lenovo thinksystem sr650 updatexpress system pack for lenovo bomc and lxca";"Сервера | Lenovo | Краснодар, Ростов-на-Дону";87673348;"Lenovo SR650";5192987682;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 lenovo thinksystem sr650 updatexpress system pack for lenovo bomc and lxca";"Сервера | Lenovo | Краснодар, Ростов-на-Дону";87700156;"Lenovo SR650";5193218681;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 maintenance manual";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo thinksystem sr630 n00";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 q00";"Сервера Lenovo Кавказ";87795793;"Lenovo SR630";5194667766;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 storage compatibility";"Сервера Lenovo Поволжье";87672026;"Lenovo SR630";5192968576;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo thinksystem sr630 v2";"Сервера Lenovo Москва";87622199;"Lenovo SR630 V2";5192409061;"lenovo thinksystem sr630 V2 -Rack -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";13;0;0,00;0,00;-;3,36;-;-;-;-
"lenovo thinksystem sr630 v2";"Сервера Lenovo СП-б";87670033;"Lenovo SR630 V2";5192946202;"lenovo thinksystem sr630 V2 -Rack -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;3,00;-;-;-;-
"lenovo thinksystem sr630 v2 2x4309y";"Сервера Lenovo СП-б";87670033;"Lenovo SR630 V2";5192946202;"lenovo thinksystem sr630 V2 -Rack -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 v2 7z71cto1ww 6";"Сервера Lenovo Юг";87673229;"Lenovo SR630 V2";5192986673;"lenovo thinksystem sr630 V2 -Rack -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 v2 7z71ctolww";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630 V2";5192441847;"lenovo thinksystem sr630 V2 -Rack -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 v2 datasheet";"Сервера Lenovo Москва";87622199;"Lenovo SR630 V2";5192409061;"lenovo thinksystem sr630 V2 -Rack -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 v2 effortless install";"Сервера Lenovo Москва";87622199;"Lenovo SR630 V2";5192409061;"lenovo thinksystem sr630 V2 -Rack -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo thinksystem sr630 v2 imm";"Сервера Lenovo Москва";87622199;"Lenovo SR630 V2";5192409061;"lenovo thinksystem sr630 V2 -Rack -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 v2 rack 1u";"Сервера Lenovo Москва";87622199;"Lenovo SR630 V2";5192409061;"Lenovo ThinkSystem SR630 V2 Rack";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 v3 rack server";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Сервер ThinkSystem SR530 -Купить";"фраза";"семантическое";-;"Альтернативные запросы";2;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 диски 01cx798";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo thinksystem sr630 длина";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo SR630";5194661671;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr630 порты";"Сервера Lenovo Екатеринбург, Челябинск";87795663;"Lenovo SR630";5194664988;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo thinksystem sr630 салазкм";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630";5192441848;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr635";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR635 - 2785872760011704628";5192334987;"Lenovo ThinkSystem SR635 -Rack -V3 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr635";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR635 - 2785872760011704628";5192946170;"Lenovo ThinkSystem SR635 -Rack -V3 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr645";"Сервера Lenovo Москва";87622199;"Lenovo SR645";5192409058;"Lenovo ThinkSystem SR645 -Rack -V3 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;3,00;-;-;-;-
"lenovo thinksystem sr650";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;5,00;-;-;-;-
"lenovo thinksystem sr650";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr650";"Сервера Lenovo Северо-Запад";87670802;"Lenovo SR650";5192956573;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr650";"Сервера Lenovo Поволжье";87672026;"Lenovo SR650";5192968573;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr650";"Сервера Lenovo Юг";87673229;"Lenovo SR650";5192986671;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";2;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr650";"Сервера Lenovo Сибирь";87794735;"Lenovo SR650";5194659703;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr650";"Сервера Lenovo Урал";87795544;"Lenovo SR650";5194663441;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr650";"Сервера Lenovo Кавказ";87795793;"Lenovo SR650";5194667763;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr650 01kp692 01kp655";"Сервера Lenovo СП-б";87670033;"Lenovo SR650";5192946200;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr650 4210r 32gb";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr650 7x06 cto1ww";"Сервера Lenovo ЦФО";87636764;"Lenovo SR650";5192441845;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr650 7x06a0b4ea";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";3;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr650 7x06cto1ww";"Сервера Lenovo Москва Н-Н";87673030;"Lenovo SR650";5192984890;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr650 7x06l0fb00";"Сервера Lenovo СП-б";87670033;"Lenovo SR650";5192946200;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;5,00;-;-;-;-
"lenovo thinksystem sr650 7z73t0u100";"Сервера Lenovo Юг";87673229;"Lenovo SR650";5192986671;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo thinksystem sr650 firmware";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo thinksystem sr650 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;1,00;-;-;-;-
